File,Total Time,Coding %,Debugging %,Testing %,FC% Flow Complexity,OV% Object Vocabulary,OC% Object Conjuration,AI% Arithmetic Intricacy,DT% Data Transfer,ID% Inline Data,CS% Code Structure,CM% Comments,CCR Code to Comment Ratio,ECF Essential Comment Factor,CSM Code Structure Modularity,LD Logic Density,SDE Source Divergence Entropy,IDF Information Diversity Factor,OCF Object Convolution Factor,LLOC Logical Lines of Code,Multi Line Comments,Single Line Comments,High Quality Comments,Strings,Numeric Constants,Code Nature,Quality Notes Count,Quality Notes Detail,
C:\Users\Kartun\momentics-workspace\vk_chat\src\applicationui.cpp,12,91,8,1,4,69,8,3,7,0,6,3,78,360,91,56,53,91,18,22,1,17,18,5,0,Normal,0,
C:\Users\Kartun\momentics-workspace\vk_chat\src\main.cpp,3,91,8,1,2,75,6,0,4,0,6,7,66,200,95,0,35,53,11,5,1,3,4,0,0,Normal,0,
C:\Users\Kartun\momentics-workspace\vk_chat\src\vkauth.cpp,21,91,8,1,0,54,18,8,9,1,7,3,106,364,114,60,59,254,31,47,2,63,51,17,3,Algorithmic Oriented,0,
C:\Users\Kartun\momentics-workspace\vk_chat\src\vkchatcontoller.cpp,24,89,10,1,10,48,16,4,10,1,9,2,63,166,165,36,52,251,27,54,2,34,35,23,0,Normal,0,

Entire Project Totals,62,90,9,1,5,56,15,5,8,1,7,3,83,263,132,48,54,200,27,128,6,117,108,45,3,Normal,0,

